uuid,votes_correct,unanimous,majority_correct,confidence_mean,confidence_std,confidence_min,confidence_max
2ed3f321-d4a8-4057-94e7-5b5cd0a7effb,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
6391ee1c-883a-4683-0a4b-b804b4a66366,0,True,False,0.9,0.0,0.9,0.9
c7eafe51-32ca-4508-3aaf-f160b944ad89,3,True,True,1.0,0.0,1.0,1.0
004aec60-f3c9-4830-1259-691b4a9bee08,3,True,True,1.0,0.0,1.0,1.0
96f7c082-5259-40cb-bb4f-706ab136a038,3,True,True,1.0,0.0,1.0,1.0
fa747225-4cec-4c39-e4e6-8ba7b899daec,3,True,True,0.9833333333333334,0.023570226039551605,0.95,1.0
1a95eaf1-42f0-40c2-6baf-75f42b219809,3,True,True,1.0,0.0,1.0,1.0
c7fd74eb-67be-4fcc-791f-bdeb168dc3e8,3,True,True,1.0,0.0,1.0,1.0
4a1eb17f-c2aa-48f0-78a9-cca591542855,3,True,True,1.0,0.0,1.0,1.0
77ab86ec-3dac-495b-162e-1a58827bc813,3,True,True,1.0,0.0,1.0,1.0
32b3f58b-e63d-4722-a5a9-a84166aaaffa,3,True,True,0.9166666666666666,0.023570226039551553,0.9,0.95
5a653898-f14d-4b00-8ba4-b236563c7ad8,0,True,False,0.9,0.0,0.9,0.9
c0d17b6c-e574-4584-763c-4c9decbe9daf,0,True,False,0.9,0.0,0.9,0.9
59f5a7e6-08a7-4d18-c213-8fc2e1a021dc,3,True,True,1.0,0.0,1.0,1.0
69808714-e320-4bae-592a-ba4be120240e,3,True,True,1.0,0.0,1.0,1.0
ccecd38f-64c6-4250-dd64-5fbd07ae5977,3,True,True,0.9666666666666667,0.04714045207910316,0.9,1.0
1d462152-e3bb-43ee-5ced-684ba1f2a8cc,0,True,False,0.9333333333333332,0.04714045207910316,0.9,1.0
433bddf2-3433-4dee-1e0a-d8bd4f384ca8,3,True,True,0.9933333333333333,0.009428090415820642,0.98,1.0
f8dd7708-ff8c-436e-de3a-9c1bf75735f0,3,True,True,0.9333333333333332,0.04714045207910316,0.9,1.0
495bbea2-74ec-4f48-4ecb-157d139e2962,3,True,True,1.0,0.0,1.0,1.0
3ab42229-559a-4013-cb9e-459d1e4f086c,3,True,True,0.9,0.0,0.9,0.9
157933ea-8c19-4e6c-048d-1edcb5dddc71,0,True,False,0.9333333333333332,0.04714045207910316,0.9,1.0
503b385d-1f09-44ef-ccb1-19f6dd1c2997,0,True,False,1.0,0.0,1.0,1.0
0e6b3a5d-ac97-46ab-6b1a-2609183225ec,3,True,True,1.0,0.0,1.0,1.0
5d3c6ed3-6c0d-420b-c139-a7bce58054f3,3,True,True,1.0,0.0,1.0,1.0
877f4f21-8757-41cc-25ec-b949482c32da,3,True,True,1.0,0.0,1.0,1.0
9c226d1d-f7c9-40b6-f110-95eb3f21e95f,3,True,True,1.0,0.0,1.0,1.0
18d38412-c9ce-4a17-c0db-476870d3bbbd,3,True,True,1.0,0.0,1.0,1.0
78c82cae-a3cc-4222-8947-a6f7b1645dea,3,True,True,0.9333333333333332,0.04714045207910316,0.9,1.0
1fbc3447-8a44-42f8-43ea-4ebd6914591c,0,True,False,0.9333333333333332,0.04714045207910316,0.9,1.0
697223b0-8d20-4899-20c7-6fe282b54356,3,True,True,1.0,0.0,1.0,1.0
9eb2bf2b-4c90-4c00-cbe8-f385ae0350af,3,True,True,1.0,0.0,1.0,1.0
1d85c783-30bd-4325-ee17-b14158b5933c,3,True,True,1.0,0.0,1.0,1.0
c7decd92-0649-41cc-e4fb-314776417d07,3,True,True,1.0,0.0,1.0,1.0
af298a5f-29f8-49b8-e9e9-7876670ccc19,3,True,True,1.0,0.0,1.0,1.0
4fd5cd1e-117f-4ab2-abe6-6f5c4ed6cdff,3,True,True,1.0,0.0,1.0,1.0
a4fdc0a7-5c18-4384-8760-3f7929602139,3,True,True,1.0,0.0,1.0,1.0
e29a686f-b2c9-41a6-d37d-bf5dd40dcbe9,0,True,False,1.0,0.0,1.0,1.0
b10c0ff3-119d-48a7-cb4b-065ce95931c4,3,True,True,1.0,0.0,1.0,1.0
